Johnson Faith,France,Xuxue Feng,2025-11-25,UNQUALIFIED,
Leon Rodrigues,Germany,Xuxue Feng,2025-12-12,QUALIFIED,
Mujtaba Julie,France,Onyama Limba,2025-11-17,UNQUALIFIED,
Claire Mujtaba,Argentina,Ivan Magalhaes,2025-11-28,NEW,
Ashley Stacey,Argentina,Ivan Magalhaes,2025-12-12,NEW,
Juan Rodrigues,Russia,Asiya Javayant,2025-12-06,RENEWAL,
Tony Leja,France,Amy Elsner,2025-12-02,QUALIFIED,
Julie Emily,France,Asiya Javayant,2025-12-12,PROPOSAL,
Murillo Juan,Australia,Amy Elsner,2025-11-30,NEW,
Lionel Misaki,United Kingdom,Amy Elsner,2025-11-23,UNQUALIFIED,
